energy	time
32.03	0.00116611
29.8337	0.266357
27.1812	0.276774
23.5076	0.316604
22.4759	0.346379
20.6741	0.384009
19.1592	0.433805
18.0508	0.503965
16.4057	0.586796
16.2926	0.684554
15.1037	0.784968
14.7318	0.884961
13.8331	1.04144
13.0239	1.291
12.272	1.71031
11.2355	1.96719
10.8409	2.2614
10.0713	2.66776
9.50183	3.12926
8.85472	4.20937
8.22774	4.7705
7.64468	5.52271
7.04807	6.53993
6.42151	7.59667
5.86007	9.6768
5.54531	11.0069
5.15887	12.9649
4.70109	18.0335
4.32352	20.2334
3.97637	23.0448
3.71433	26.7351
3.56454	31.906
3.51437	36.8237
3.46198	45.6151
3.43296	57.6004
3.42017	67.0102
